name,manufacturer,form_factor,evaluation_or_commercialization,processor_architecture,processor_core_count,processor_manufacturer,processor_tdp,memory,onboard_storage,input_voltage,io_count,wireless,operating_system_bsp,operating_temperature_max,operating_temperature_min,certifications,short_summary,full_summary,full_product_description,target_applications
HYPERAL,IEI,PICO-ITX,Commercialization,Intel Apollo Lake,2,Intel,6W,"DDR4L, 8GB, 2133MHz",M.2,12V DC,"['2 x USB 3.1 Gen 1', '2 x RS-232', '2 x SATA 6Gb/s', '2 x LAN']","Bluetooth, Wi-Fi",Not Available,60C,-20C,"['CE', 'FCC']","PICO-ITX SBC with Intel Apollo Lake SoC, dual-core, 8GB DDR4L memory, HDMI, LVDS, dual LAN, USB 3.1 Gen 1, SATA 6Gb/s, and 12V DC input.","The HYPERAL is a PICO-ITX Single Board Computer (SBC) from IEI. It features an Intel Apollo Lake SoC with a dual-core processor. The board supports up to 8GB of DDR4L memory at 2133MHz. It has a variety of I/O options including HDMI, LVDS, dual LAN, USB 3.1 Gen 1, and SATA 6Gb/s. The board operates on a 12V DC input and has a temperature range of -20C to 60C. It is CE and FCC compliant.","The HYPERAL is a PICO-ITX Single Board Computer (SBC) from IEI. It features an Intel Apollo Lake SoC with a dual-core processor. The board supports up to 8GB of DDR4L memory at 2133MHz. It has a variety of I/O options including HDMI, LVDS, dual LAN, USB 3.1 Gen 1, and SATA 6Gb/s. The board operates on a 12V DC input and has a temperature range of -20C to 60C. It is CE and FCC compliant. The board is designed for a variety of applications and is ready for commercial use.","Autonomous Robot Panel PC, edge computing applications"
EMQV,ARBOR TECHNOLOGY,QSEVEN,Commercialization,VIA NANO,Not Available,VIA,Not Available,ONBOARD 1GB DDR3 SDRAM,Not Available,5V,"['4 x USB HOST PORTS', '1 x USB CLIENT PORT', '2 x SERIAL ATA PORTS', '1 x SDIO', '1 x LVDS', '2 x RJ W TRANSFORMER', '1 x DISPLAYPORT']",Not Available,Not Available,60C,Not Available,Not Available,"The EmQv is a Qseven CPU module from Arbor Technology, featuring an onboard VIA Nano U processor, 1GB DDR3 SDRAM, and a variety of I/O interfaces.","The EmQv is a Qseven CPU module from Arbor Technology. It features an onboard VIA Nano U processor and 1GB DDR3 SDRAM. It supports a single channel 18-bit LVDS display and has RAID support. The module operates at a temperature of up to 60C and requires a 5V power supply. It offers a variety of I/O interfaces, including 4 USB host ports, 1 USB client port, 2 Serial ATA ports, 1 SDIO, 1 LVDS, 2 RJ with transformer, and 1 DisplayPort.","The EmQv is a Qseven CPU module from Arbor Technology. It features an onboard VIA Nano U processor and 1GB DDR3 SDRAM. It supports a single channel 18-bit LVDS display and has RAID support. The module operates at a temperature of up to 60C and requires a 5V power supply. It offers a variety of I/O interfaces, including 4 USB host ports, 1 USB client port, 2 Serial ATA ports, 1 SDIO, 1 LVDS, 2 RJ with transformer, and 1 DisplayPort. The module is designed for use in a variety of applications, including industrial automation and control systems.","['INDUSTRIAL AUTOMATION', 'CONTROL SYSTEMS']"
SOLIDRUN MICROSOM,SOLIDRUN LTD,MICROSOM,False,ARM,Single core ARM Cortex A / Dual core ARM Cortex A,MARVELL,Not Available,"64 bit DDRL, 512MB - 1GB","SPI Flash 16Mbit - 32Mbit, eMMC Optional",1.8V - 3.3V,"['GPIO pins, SERDES Interfaces']",802.1 a/b/g/n WLAN (WiLink8),"['U-Boot', 'Linux Kernel 4.x', 'OpenWrt', 'Yocto']",70C,-40C,Not Available,"SolidRun's MicroSoM is a compact system-on-module packed with Marvell ARMADA X SoC, memory subsystem, and IO interconnected subsystems.","The SolidRun MicroSoM is designed for embedded systems product developers and OEMs. It features a Marvell ARMADA X SoC, memory subsystem, and IO interconnected subsystems in a single ultra-compact system-on-module. It delivers faster time to market, lowers design costs, and reduces design risks.","The SolidRun MicroSoM features a Marvell Armada F Core Processor, with options for a single or dual core ARM Cortex A processor. It supports a memory size of 512MB to 1GB, with optional eMMC storage. The MicroSoM supports a range of connectivity options, including MAC ports, GE PHY, SDIO, IS, SPDIF, TDM, USB, and GPIO pins. It operates at a supply voltage of 1.8V to 3.3V, and supports a temperature range of -40C to 70C.","['WEB Servers', 'Printers Servers', 'Network Appliances', 'VPN Server', 'Security Firewall', 'Cyber Encryption', 'Location-Based Services', 'Enterprise SMB Network solutions', 'Financial Services', 'Travel Services', 'Home Automation', 'Portable Proxy Recorders', 'DVR', 'NVR', 'Cameras connected to cloud', 'Home Automation', 'Smart Grid', 'Health', 'Transportation', 'Aviation', 'Environmental Sensors', 'Surveillance', 'Monitoring', 'Control', 'NAS (Network Attached Storage)', 'Security', 'WAP (WiFi Access Point)']"
MI TH GEN INTEL XEON W CORETM PENTIUM CELERON INTEL WEQEHE PCH MINIITX MOTHERBOARD,IBASE,MINI-ITX,False,INTEL XEON W,Not Available,INTEL,Not Available,DDR SODIMM MAX 64GB ECC COMPATIBLE,M.2 M NVME,Not Available,"['USB X 4', 'USB GEN 1 X 4', 'COM X 2', 'SATA III X 1', 'PCIE X 1', 'M.2 E-KEY', 'M.2 M-KEY']",Not Available,Not Available,60C,0C,Not Available,"Mini-ITX motherboard featuring 9th Gen Intel Xeon W/Core/Pentium/Celeron processors, DDR SODIMM memory, M.2 NVMe storage, and multiple I/O interfaces.","This Mini-ITX motherboard is powered by 9th Gen Intel Xeon W/Core/Pentium/Celeron processors and supports up to 64GB of ECC compatible DDR SODIMM memory. It features M.2 NVMe storage, multiple I/O interfaces including USB, COM, SATA III, and PCIE, and dual Intel Gigabit LAN. It also supports DVID, HDMI, DisplayPort, and LVDS video outputs.","The MI 9th Gen Intel Xeon W/Core/Pentium/Celeron Mini-ITX motherboard is a high-performance, compact solution for a wide range of applications. It features a LGA socket for 9th Gen Intel Xeon W/Core/Pentium/Celeron processors, up to 64GB of ECC compatible DDR SODIMM memory, and M.2 NVMe storage. The motherboard also offers a variety of I/O interfaces, including USB, COM, SATA III, and PCIE, as well as dual Intel Gigabit LAN. It supports DVID, HDMI, DisplayPort, and LVDS video outputs, and comes with a built-in HD audio Realtek ALCS codec. The motherboard operates at temperatures ranging from 0C to 60C.",Not Available
EMETXEIM,ARBOR TECHNOLOGY,COM EXPRESS BASIC TYPE,Not Available,INTEL CORE IEQ,Not Available,INTEL,Not Available,DDR4,SERIAL ATA PORTS,VV WIDE RANGE VOLTAGE INPUT,"['USB PORTS', 'UART PORTS', 'PCIEX LANES']",Not Available,"['WINDOWS BIT', 'WINDOWS BIT', 'LINUX UBUNTU']",C,C,Not Available,EMETXEIM is a COM Express Basic Type CPU Module with onboard Intel Core iEQ processor. It supports DDR4 memory and has Serial ATA ports for storage. It operates at a wide range voltage input and has a temperature range of C to C.,"The EMETXEIM is a COM Express Basic Type CPU Module manufactured by Arbor Technology. It features an onboard Intel Core iEQ processor and supports DDR4 memory. The module has Serial ATA ports for storage and operates at a wide range voltage input. It has multiple I/O options including USB ports, UART ports, and PCIex lanes. The operating temperature range is from C to C. It supports Windows bit, Windows bit, and Linux Ubuntu operating systems.","The EMETXEIM is a COM Express Basic Type CPU Module manufactured by Arbor Technology. It features an onboard Intel Core iEQ processor and supports DDR4 memory. The module has Serial ATA ports for storage and operates at a wide range voltage input. It has multiple I/O options including USB ports, UART ports, and PCIex lanes. The operating temperature range is from C to C. It supports Windows bit, Windows bit, and Linux Ubuntu operating systems. The form factor is COM Express Basic Type.","Industrial, Military/Aerospace, Gaming, Medical, Transportation, IoT, and General Computing embedded applications"
CLEARFOG BASE CARRIER,SOLIDRUN LTD,mini ITX,False,ARM,16,MARVELL,11 Watts,1 GB,"1 GB M uSD, 1 GB eMMC (Optional)",5 V - 12 V,"['1 mPCIE, 1 USB port, 1 Port dedicated Ethernet, 1 SFP, 1 IO Misc mikroBUS']",LTE/WIFI,"['Linux Kernel x.x.x', 'OpenWrt', 'Yocto']",85°C,-40°C,Not Available,"ClearFog Base is a flexible IoT gateway platform with robust processing power provided by the ARMADA SoC. It is optimized for networking, routing, and storage applications.","ClearFog Base is a powerful and modular board offering optimal modulation and fast processing speeds. It features a wide range of connectivity options including mPCIE, USB port, dedicated Ethernet, SFP, and IO Misc mikroBUS. It supports a wide range of software including Linux Kernel x.x.x, OpenWrt, and Yocto.","ClearFog Base is a flexible IoT gateway platform that harnesses the full potential of the robust processing power of the ARMADA SoC. It offers optimal modulation and fast processing speeds, cutting development costs and simplifying the production process. It features a wide range of connectivity options and supports a wide range of software.","Intended for use in networking, routing, and storage applications."
QA QSEVEN STANDARD MODULE,SECO,Qseven,False,Intel Atom E/Celeron,Up to 4,INTEL,Up to 10W,Up to 4GB Dual-Channel DDRL at 1333MHz,eMMC Drive soldered onboard,5VDC,"['Multiple (USB, PCIe, SATA, SD, Serial, IC Bus, LPC Bus, SM Bus)']",Not Available,"['Microsoft Windows 32/64 bit', 'Microsoft Windows IoT', 'Microsoft Windows Embedded Standard 32 bit', 'Microsoft Windows Embedded Compact', 'Linux 64 bit (Yocto)']",70C,-40C,Not Available,"Qseven standard module with Intel Atom E/Celeron families, up to 4GB Dual-Channel DDRL at 1333MHz, eMMC Drive soldered onboard, and multiple I/O interfaces.","The QA Qseven standard module from SECO features Intel Atom E/Celeron families with up to 4 cores and a TDP of up to 10W. It has up to 4GB Dual-Channel DDRL at 1333MHz and an eMMC Drive soldered onboard. The module supports multiple I/O interfaces including USB, PCIe, SATA, SD, Serial, IC Bus, LPC Bus, and SM Bus. It operates at a voltage of 5VDC and has an operating temperature range of -40C to 70C. The module supports various operating systems including Microsoft Windows 32/64 bit, Microsoft Windows IoT, Microsoft Windows Embedded Standard 32 bit, Microsoft Windows Embedded Compact, and Linux 64 bit (Yocto).","The QA Qseven standard module from SECO is a high-performance, low-power module designed for a wide range of applications. It features Intel Atom E/Celeron families with up to 4 cores and a TDP of up to 10W. The module has up to 4GB Dual-Channel DDRL at 1333MHz and an eMMC Drive soldered onboard. It supports multiple I/O interfaces including USB, PCIe, SATA, SD, Serial, IC Bus, LPC Bus, and SM Bus. The module operates at a voltage of 5VDC and has an operating temperature range of -40C to 70C. It supports various operating systems including Microsoft Windows 32/64 bit, Microsoft Windows IoT, Microsoft Windows Embedded Standard 32 bit, Microsoft Windows Embedded Compact, and Linux 64 bit (Yocto).","['HMI', 'Industrial Automation Control', 'In-vehicle infotainment systems', 'Portable Devices']"
MI INTEL PENTIUM CELERON MINI-ITX MOTHERBOARD,Jetway,MINI-ITX,Commercialization,Intel 10th LGA 1200 Socket Core i7/i5/i3/Pentium/Celeron,Depends on compatible CPU,INTEL,Max. 65W,"2x DDRL SODIMM SOCKETS, MAX 8GB","1x MSATA, 1x CFAST OPTION","DC-IN V, VV DC-IN","['1x USB 3.0, 4x USB 2.0, 2x COM, 1x SATA III, 1x PCIE X1, 2x MINI PCIE, 1x MSATA, 1x CFAST']",Not Available,Not Available,50C,0C,"CE, FCC, LVD, RoHS, REACH","The JETWAY MI92V10/MI92V12 is a Mini-ITX form factor board that supports Intel 10th generation Core i7/i5/i3, Pentium & Celeron Processor. It supports two SO-DIMM DDR4 2666Mhz memory, up to 64GB and offers various expansion options.","The JETWAY MI92V10/MI92V12 is a Mini-ITX form factor board that supports Intel 10th generation Core i7/i5/i3, Pentium & Celeron Processor. It supports two SO-DIMM DDR4 2666Mhz memory, up to 64GB. Featuring the integrated Intel Gigabit Ethernet controller, the MI92V10/MI92V12 offers one 10/100/1000 & one 10/100/1000/2500 Base-TX Ethernet devices for network transmission. Four SATAIII (6Gb/s) interface and one M.2 M-key 2280 (SATA/PCIex4) support NVMe offer storage devices. One M.2 E-key 2230 (PCIex1/USB2.0) support CNVi, four USB3.2 Gen.2 ports, two USB3.2 Gen.1 ports, two USB2.0 ports, and two COM ports provide versatile expansion. The PCIex16 slot can support Jetway riser card for different expansion. The MI92V10/MI92V12 offers two HDMI1.4 port, one DP1.4 port and one eDP port which can support 3 independent displays.","The Jetway MI92 Series is a 10th Gen iCore Mini-ITX Motherboard. It supports Intel 10th LGA1200 Socket Processor with a maximum TDP of 65W. The motherboard supports 2 DDR4 2666MHz SO-DIMM up to 32 GB. It has 2 10/100/1000 Base-TX Ethernet Ports, 2 HDMI, 1 DP, 1 eDP, 2 COM ports, 4 USB3.1 Gen.2, 2 USB3.1 Gen.1 & 2 USB2.0. It also has 1 PCIe x16 slot, 1 M.2 M-key 2242/2280 (SATA/PCIe x4) support NVMe, 1 M.2 E-key 2230 (PCIe x1/USB2.0) support CNVio. It supports 4 SATA III (6Gb/s) with RAID 0, 1, 5, 10. The motherboard supports onboard TPM 2.0. It operates at a temperature of 0°C ~ 60°C and supports Windows 10 and Linux operating systems.","Edge Computing, Digital Signage, Industrial PCs, Factory Automation, Public Sector, Digital Security, Surveillance"
HUMMINGBOARD BASE CARRIER BOARD,SOLIDRUN LTD,Not Available,False,NXP'S IMX,Single/Dual Core,NXP,Not Available,Up to 1GB DDR3,MicroSD card slot,5V,"['RJ45', 'USB', 'HDMI-Out', 'SPDIF', 'MIPICSI Camera IO', 'Reset Button', '26 pins GPIO Header']","802.11 a/b/g/n/ac, BT 2.4, BT 5",Linux,85° C,-40° C,"REACH, RoHS, ISO 9001, EMC/EMI Regulations, UL 94, Green/ Halogen Free","The HummingBoard base is a low compute needs embedded device focusing on file system made exclusively available via MicroSD card slot with basic GPIO, media processing, and network connectivity.","The HummingBoard base is a robust design with a small footprint. It is based on NXP's iMX Single/Dual Core with up to 1GB DDR3. It offers connectivity via RJ45, USB, HDMI-Out, SPDIF, MIPICSI Camera IO, Reset Button, and 26 pins GPIO Header. The device operates on 5V power and runs on Linux.","The HummingBoard base is a robust design with a small footprint. It is based on NXP's iMX Single/Dual Core with up to 1GB DDR3. It offers connectivity via RJ45, USB, HDMI-Out, SPDIF, MIPICSI Camera IO, Reset Button, and 26 pins GPIO Header. The device operates on 5V power and runs on Linux. It is an economical starting point for low compute needs embedded device.",Not Available
CUBIETRUCK KIT DUAL CORE SINGLEBOARD COMPUTER,CUBIETEAM,Single Board Computer,False,ARM CORTEX-A,DUAL CORE,ALLWINNER TECH,Not Available,2GB DDR,NAND,DC 5V,"['2 x USB HOST', '1 x OTG', '1 x SPDIF', '1 x IR', '4 x LEDs', '1 x Headphone', '2 x Keys']","['WIFI', 'BLUETOOTH']","['LINUX', 'ANDROID']",70℃,-20℃,"RoHS, Fcc & CE compatible","Cubietruck is a dual-core singleboard computer with 2GB DDR memory, built-in WIFI/BT module, and supports HDMI/VGA display interface.","Cubietruck is the 3rd board of Cubieteam, also named Cubieboard3. It's a new PCB model adopted with Allwinner A20 main chip. The board features 2GB memory, VGA display interface, onboard 10M/100M NIC, WIFI/BT onboard, and supports Li-battery & RTC, SPDIF audio interface.","Cubietruck is a dual-core singleboard computer that features an Allwinner Tech SOC A20 ARM Cortex-A Dual-Core processor, 2GB DDR3 RAM, HDMI/VGA 1080P display output, onboard 10M/100M Ethernet, WIFI & BT wireless connection with antenna onboard, SATA interface, and supports HDD. It also has extended pins including I2S, I2C, SPI, CVBS, LRADC, UART, PS2, PWM, TS/CSI, IRDA, LINEIN&FMIN&MICIN, TVIN. The board operates at DC 5V power input and supports Li-battery & RTC.","Industrial automation, Factory automation, Digital signage, Innovative retail, Computer vision, AI applications, DIY projects, Retro gaming stations, Media and home servers, Smart home integration"
EMETXI INTEL ATOM N ETX CPU MODULE,Intel,ETX,commercialization,INTEL ATOM,4,INTEL,12W,"DDRII SODIMM, 533 MHZ, 1 GB","1x 2.5” Front Accessible SATA HDD/SSD Bay, 1 x M.2 SSD",+5V,"['1 x COM PORTS, 1 x RS, 1 x RS, 1 x PARALLEL PORT, 1 x FLOPPY DISK DRIVE, 4 x USB PORTS']","Wi-Fi, Bluetooth, GNSS, GSM",Windows® 10,70°C,-20 C,"EN 61000-6-2, EN 61000-6-4","The EmETXi Intel Atom N ETX CPU module features a 1.6 GHz processor, DDRII SODIMM memory, and multiple I/O ports.","The EmETXi Intel Atom N ETX CPU module is a high-performance computing solution featuring a 1.6 GHz processor, 1 GB of DDRII SODIMM memory, and a range of I/O ports including COM ports, RS, RS, a parallel port, a floppy disk drive, and USB ports. It operates at a voltage of AV, AV, AV and has a minimum operating temperature of -20 C.","The EmETXi Intel Atom N ETX CPU module is a high-performance computing solution designed for a range of applications. It features a 1.6 GHz processor, 1 GB of DDRII SODIMM memory, and a range of I/O ports including COM ports, RS, RS, a parallel port, a floppy disk drive, and USB ports. The module operates at a voltage of AV, AV, AV and has a minimum operating temperature of -20 C. The module is designed in the ETX form factor.","industrial IoT edge computing, mobile applications"
