name,ids,manufacturer,form_factor,processor,core_count,processor_tdp,memory,io,operating_system,environmentals,certifications,short_summary,full_summary,full_product_description
AIMB Series,AIMB-763G2-00A2,Advantech,mATX,"Intel Pentium D, Pentium, Celeron, Core Duo",4,Not available,"DDR, up to 4 GB, Dual Channel, 4 x 240-pin DIMM sockets","PS/2 mouse port, Parallel port, LAN RJ-45 port, USB ports, Serial port, VGA port, PS/2 keyboard port, Audio I/O",Not available,Not available,"FCC, Canadian Department of Communications","The AIMB Series by Advantech is a mATX motherboard supporting Intel Pentium D, Pentium, Celeron, and Core Duo processors, with up to 4 GB of DDR memory and various I/O interfaces.","The AIMB Series motherboards from Advantech are designed for Intel Pentium D, Pentium, Celeron, and Core Duo processors. They support up to 4 GB of DDR memory in a dual-channel configuration and come with a variety of I/O interfaces including PS/2, USB, LAN, VGA, and audio ports. These motherboards are compliant with FCC and Canadian Department of Communications standards.","The AIMB Series motherboards by Advantech are built to support Intel Pentium D, Pentium, Celeron, and Core Duo processors. They feature a mATX form factor and support up to 4 GB of DDR memory in a dual-channel configuration. The motherboards come with a range of I/O interfaces including PS/2 mouse and keyboard ports, a parallel port, a LAN RJ-45 port, multiple USB ports, a serial port, a VGA port, and audio I/O. They are equipped with an Intel G chipset and provide various expansion slots including PCI Express x16, PCI Express x1, and PCI slots. The motherboards also support high-definition audio with Realtek ALC codecs and have onboard connectors for additional USB ports, fans, power, and audio. They are compliant with FCC and Canadian Department of Communications regulations."
AIMBDS,AIMB-201VG-DSA1E,Advantech,Mini ITX,"Intel Core i3/i5/i7, Celeron",2,35W,"DDR3 SODIMM, up to 16GB","HDMI, USB, COM, LAN, Audio",Not available,"Operating Temperature: 0°C to 60°C, Storage Temperature: -40°C to 85°C, Relative Humidity: 95% @ 60°C (non-condensing)","FCC Class B, CE","AIMBDS is a Mini ITX motherboard by Advantech featuring Intel Core i3/i5/i7 and Celeron processors, supporting up to 16GB DDR3 SODIMM memory, and offering various I/O interfaces including HDMI, USB, COM, LAN, and Audio.","The AIMBDS motherboard by Advantech is designed for digital signage and other embedded applications. It supports Intel Core i3/i5/i7 and Celeron processors with a TDP of 35W. The board supports up to 16GB of DDR3 SODIMM memory and offers a range of I/O interfaces including HDMI, USB, COM, LAN, and Audio. It is built to operate in temperatures ranging from 0°C to 60°C and can be stored in temperatures from -40°C to 85°C. The board is FCC Class B and CE certified.","The AIMBDS motherboard by Advantech is a high-performance Mini ITX board designed for digital signage and other embedded applications. It supports 3rd generation Intel Core i3/i5/i7 and Celeron processors with a thermal design power (TDP) of 35W. The board features two DDR3 SODIMM sockets supporting up to 16GB of memory. It offers a variety of I/O interfaces including HDMI with CEC, multiple USB ports, COM ports, and dual Gigabit Ethernet LAN ports. The board is designed to operate in a wide temperature range from 0°C to 60°C and can be stored in temperatures from -40°C to 85°C. It is FCC Class B and CE certified, ensuring compliance with international standards. The AIMBDS also includes features like watchdog timer, hardware monitoring, and support for Advantech's SUSIAccess remote device management software."
AMAx Single Board Computer,iW-G55S-OL74-4L002G-E016G-BIA,iWave Systems Technologies,100mm x 72mm,AMAx Applications Processor,Quad Core,Not available,"4GB LPDDR4 RAM, 16GB eMMC Flash","USB, Ethernet, WiFi, Bluetooth, MIPI CSI, RGB Display, UART, GPIO, CAN, I2C, SPI, JTAG","Linux 3.0.35, Android 4.3 Jelly Bean, WEC7",Operating temperature range: -40°C to 85°C,"ISO Certified Company, RoHS Compliance","AMAx Single Board Computer by iWave Systems Technologies features a compact form factor with a quad-core processor, 4GB LPDDR4 RAM, and 16GB eMMC Flash.","The AMAx Single Board Computer by iWave Systems Technologies is a compact and versatile SBC featuring a quad-core AMAx Applications Processor, 4GB LPDDR4 RAM, and 16GB eMMC Flash. It supports various interfaces including USB, Ethernet, WiFi, Bluetooth, MIPI CSI, RGB Display, UART, GPIO, CAN, I2C, SPI, and JTAG. The board is designed for industrial applications with an operating temperature range of -40°C to 85°C and complies with RoHS standards.","The AMAx Single Board Computer by iWave Systems Technologies is designed for applications requiring low power, low cost, and high performance. It features a quad-core AMAx Applications Processor, 4GB LPDDR4 RAM, and 16GB eMMC Flash. The board supports a wide range of interfaces including USB, Ethernet, WiFi, Bluetooth, MIPI CSI, RGB Display, UART, GPIO, CAN, I2C, SPI, and JTAG. The compact form factor of 100mm x 72mm makes it suitable for portable and stationary embedded systems. The SBC is designed to operate in harsh environments with a temperature range of -40°C to 85°C and complies with RoHS standards. Additional features include a fan header, RTC battery header, power ON/OFF switch, and reset switch."
AMD Ryzen Embedded V Series Mini ITX Motherboard,MI988F-1202,IBASE,"Mini ITX, 170mm x 170mm",AMD Ryzen Embedded V Series,up to eight CPU cores,12-25W,"DDR4 SODIMM, Max 32GB, ECC support","2x PCIe, 1x Mini PCIe, 1x M.2 M-key, 2x Gigabit LAN, 4x USB 3.1, 2x SATA III, 2x COM, HDMI, DisplayPort, eDP, LVDS, HD Audio",Not available,"Operating Temperature: 0°C to 60°C (32°F to 140°F), Storage Temperature: -40°C to 85°C (-40°F to 185°F), Relative Humidity: 5% to 95% non-condensing",Not available,"Mini ITX motherboard featuring AMD Ryzen Embedded V Series processor, dual Gigabit LAN, multiple display outputs, and extensive I/O options.","The AMD Ryzen Embedded V Series Mini ITX Motherboard by IBASE is designed for high-performance embedded applications. It features an AMD Ryzen Embedded V Series processor, dual Gigabit LAN, multiple display outputs including HDMI, DisplayPort, eDP, and LVDS, and extensive I/O options such as PCIe, Mini PCIe, M.2, USB 3.1, SATA III, and COM ports. The board supports up to 32GB of DDR4 SODIMM memory with ECC support and includes integrated AMD Radeon Vega GPU for enhanced graphics performance.","The AMD Ryzen Embedded V Series Mini ITX Motherboard by IBASE is a versatile and high-performance solution for embedded applications. It features an AMD Ryzen Embedded V Series processor with integrated AMD Radeon Vega GPU, providing powerful computing and graphics capabilities. The motherboard supports up to 32GB of DDR4 SODIMM memory with ECC support, ensuring data integrity and reliability. It offers a wide range of I/O options, including 2x PCIe slots, 1x Mini PCIe slot, 1x M.2 M-key slot, 2x Gigabit LAN ports, 4x USB 3.1 ports, 2x SATA III ports, and 2x COM ports. The board also includes multiple display outputs, such as HDMI, DisplayPort, eDP, and LVDS, making it suitable for various display configurations. With its robust design and extensive features, the AMD Ryzen Embedded V Series Mini ITX Motherboard is ideal for industrial, medical, and gaming applications."
AMD Ryzen Embedded V Series MiniITX Motherboard,MI989F-2748,IBASE,Mini-ITX,AMD Ryzen Embedded V Series APU,Up to 8 cores,Not available,"2 x DDR4 SODIMM, Max 32GB, ECC compatible","4 x USB 3.1, 2 x USB 2.0, 2 x COM, 2 x SATA III, 1 x PCIe x8, 1 x M.2 B-Key, 1 x M.2 E-Key, 1 x M.2 M-Key, 2 x DisplayPort, Dual Intel Gigabit LAN, HD Audio",Not available,"Operating Temperature: 0°C to 60°C, Storage Temperature: -40°C to 85°C, Relative Humidity: 5% to 95% non-condensing",Not available,"AMD Ryzen Embedded V Series Mini-ITX motherboard with dual Gigabit LAN, multiple USB and COM ports, and ECC compatible memory.","The AMD Ryzen Embedded V Series Mini-ITX motherboard features an AMD Ryzen Embedded V Series APU, dual Intel Gigabit LAN, multiple USB and COM ports, and ECC compatible memory. It supports up to 32GB of DDR4 SODIMM memory and includes various expansion slots such as PCIe x8 and M.2 keys.","The AMD Ryzen Embedded V Series Mini-ITX motherboard by IBASE is designed for high-performance embedded applications. It features an AMD Ryzen Embedded V Series APU, dual Intel Gigabit LAN, and multiple USB and COM ports. The motherboard supports up to 32GB of DDR4 SODIMM memory with ECC compatibility. It includes various expansion slots such as PCIe x8, M.2 B-Key, M.2 E-Key, and M.2 M-Key. The board also offers robust environmental specifications, including an operating temperature range of 0°C to 60°C and a storage temperature range of -40°C to 85°C."
AMD Ryzen Embedded VR Series Board,IB918F-1505G,IBASE,3.5-inch SBC,AMD Ryzen Embedded V/R Series,up to 8 cores,25W,"DDR4 SODIMM, Max 32GB, supports ECC","2x PCIe, 2x Gigabit LAN, 2x HDMI, 1x eDP, 1x 24-bit LVDS dual-channel, 4x USB 3.1, 4x USB 2.0, 2x SATA III, 2x COM, 2x M.2 sockets (M Key, E Key)",Not available,"Operating Temperature: 0°C to 60°C (32°F to 140°F), Storage Temperature: -40°C to 85°C (-40°F to 185°F), Relative Humidity: 5% to 95% non-condensing",Not available,AMD Ryzen Embedded VR Series board with multiple I/O interfaces and environmental specifications.,"The AMD Ryzen Embedded VR Series board by IBASE features an AMD Ryzen Embedded V/R Series processor, supports up to 32GB DDR4 SODIMM memory with ECC, and offers a variety of I/O interfaces including PCIe, Gigabit LAN, HDMI, eDP, LVDS, USB, SATA, and COM ports. It is designed to operate in a wide range of temperatures and humidity conditions.","The AMD Ryzen Embedded VR Series board by IBASE is equipped with an AMD Ryzen Embedded V/R Series processor and supports up to 32GB of DDR4 SODIMM memory with ECC. It includes a variety of I/O interfaces such as 2x PCIe, 2x Gigabit LAN, 2x HDMI, 1x eDP, 1x 24-bit LVDS dual-channel, 4x USB 3.1, 4x USB 2.0, 2x SATA III, 2x COM, and 2x M.2 sockets (M Key, E Key). The board is designed to operate in temperatures ranging from 0°C to 60°C (32°F to 140°F) and can be stored in temperatures from -40°C to 85°C (-40°F to 185°F) with a relative humidity of 5% to 95% non-condensing."
AMD Ryzen Series MiniITX Motherboard,MBD301,IBASE,MiniITX,AMD Ryzen Embedded Series,up to eight CPU cores,15W to 45W,"2 x DDR4 SODIMM, Max 32GB","4 x USB 3.1, 6 x COM, 2 x Gigabit LAN, 1 x M.2 E-key, 1 x Mini PCIe socket (full-size), 1 x SIM slot, 2 x SATA III, 1 x DisplayPort",Not available,"Operating Temperature: 0°C to 60°C (32°F to 140°F), Storage Temperature: -40°C to 85°C (-40°F to 185°F), Relative Humidity: 10% to 90% non-condensing",Not available,"IBASE AMD Ryzen Series MiniITX Motherboard with Vega Graphics, multiple I/O interfaces, and intelligent energy-saving technologies.","The IBASE AMD Ryzen Series MiniITX Motherboard features AMD Ryzen Embedded Series processors with integrated Vega Graphics. It supports up to 32GB DDR4 SODIMM memory, multiple I/O interfaces including USB, COM, Gigabit LAN, and DisplayPort. The motherboard also includes intelligent energy-saving technologies and hardware remote monitoring.","The IBASE AMD Ryzen Series MiniITX Motherboard is designed for high-performance applications with AMD Ryzen Embedded Series processors and integrated Vega Graphics. It supports up to 32GB DDR4 SODIMM memory and offers a variety of I/O interfaces including 4 x USB 3.1, 6 x COM, 2 x Gigabit LAN, 1 x M.2 E-key, 1 x Mini PCIe socket (full-size), 1 x SIM slot, 2 x SATA III, and 1 x DisplayPort. The motherboard also features IBASE iCONTROL intelligent energy-saving and hardware remote monitoring technologies. It operates within a temperature range of 0°C to 60°C and can be stored in temperatures ranging from -40°C to 85°C with a relative humidity of 10% to 90% non-condensing."
AOLinuXino,A64-OLinuXino-1Ge16GW-EA,Olimex,Single circuit board,AllWinner A64,4x ARM Cortex-A53,Not available,1.0 GiB RAM,"HDMI, USB, LAN, GPIO, UEXT",Linux,Industrial grade (-40+85)C or commercial grade (0-70)C,RoHS compliant,AOLinuXino is an open-source single-board computer designed and manufactured by Olimex.,"AOLinuXino is an open-source single-board computer designed and manufactured by Olimex. It is built on a single circuit board and includes a processor, power management unit, memories, peripherals, and connectors required for basic operation. It can boot different operating systems and offers various ways to access the operating system.","AOLinuXino is an open-source single-board computer designed and manufactured by Olimex. It includes a processor, power management unit, memories, peripherals, and connectors required for basic operation. The board can be powered via a 5V power jack or a 3.7V LiPo battery. It supports various input/output interfaces including HDMI, USB, LAN, GPIO, and UEXT. The board can boot different operating systems and offers multiple ways to access the operating system, including via HDMI display or USB serial cable. It is RoHS compliant and suitable for general-purpose development."
AOLinuXinoLIME,T2-OLinuXino-LIME-e4Gs16M-IND,Olimex,84mm x 60mm,Allwinner A10,Dual-core,Not available,512MB DDR3 RAM,"HDMI, USB-OTG, USB-Host, Ethernet, SATA, GPIO, UART, MicroSD","Android, Debian Linux",ROHS compliant,ROHS compliant,"AOLinuXinoLIME is an open-source single-board computer designed by Olimex, featuring an Allwinner A10 processor, 512MB DDR3 RAM, and multiple I/O interfaces.","The AOLinuXinoLIME is a compact, open-source single-board computer developed by Olimex. It is powered by an Allwinner A10 dual-core processor and comes with 512MB DDR3 RAM. The board supports both Android and Debian Linux operating systems and offers a variety of I/O interfaces including HDMI, USB-OTG, USB-Host, Ethernet, SATA, GPIO, UART, and MicroSD. It is ROHS compliant and is suitable for embedded programming, media centers, and application-oriented embedded systems.","The AOLinuXinoLIME is a versatile single-board computer designed by Olimex. It features an Allwinner A10 dual-core Cortex-A7 processor, 512MB DDR3 RAM, and 4GB NAND Flash memory. The board supports Full HD video playback and comes pre-loaded with Android on the NAND memory. It includes a variety of interfaces such as HDMI, USB-OTG, USB-Host, Ethernet, SATA, GPIO, UART, and MicroSD. The board is designed for easy setup and is suitable for a wide range of applications including embedded programming, media centers, and professional embedded systems. The board is ROHS compliant and comes with extensive documentation and support from Olimex."
AOLinuXinoMICRO,A20-OLINUXINO-MICRO-4GB,Olimex,Compact,Allwinner A13,Dual-core,Not available,1 GB DDR3 RAM,"HDMI, VGA, USB, Ethernet, GPIO, LCD, SATA, Audio","Linux, Android","Commercial temperature range: 0°C to 70°C, Industrial temperature range: -40°C to 85°C",ROHS compliant,"AOLinuXinoMICRO is an open-source single-board computer designed for Android and Linux, suitable for embedded programming and development.","The AOLinuXinoMICRO is a versatile single-board computer developed by Olimex, featuring an Allwinner A13 dual-core processor, 1 GB DDR3 RAM, and a variety of I/O interfaces including HDMI, VGA, USB, Ethernet, GPIO, LCD, SATA, and audio. It supports both Linux and Android operating systems and is available in versions suitable for both commercial and industrial temperature ranges.","The AOLinuXinoMICRO is an open-source single-board computer designed by Olimex. It features an Allwinner A13 dual-core ARM Cortex-A8 processor, 1 GB DDR3 RAM, and various I/O interfaces such as HDMI, VGA, USB, Ethernet, GPIO, LCD, SATA, and audio. The board supports both Linux and Android operating systems and is available in multiple variants, including those with additional flash memory and industrial temperature range components. The board is suitable for a wide range of applications, from media centers to embedded systems development. It includes features like FullHD video playback, native HDMI output, battery charging capabilities, and more. The board is ROHS compliant and comes with extensive documentation and community support."
