product_id,name,manufacturer,form_factor,evaluation_or_commercialization,processor_architecture,processor_core_count,processor_manufacturer,processor_tdp,memory,onboard_storage,input_voltage,io_count,wireless,operating_system_bsp,operating_temperature_max,operating_temperature_min,certifications,short_summary,full_summary,full_product_description,target_applications,duplicate_ids
SOM-4463D-S8B1E,SOM B,ADVANTECH,ETX,True,x86,Single Core or Dual Core,INTEL,,"DDR3, Up to 2 GB","eMMC, Optional SSD","5V, 5VSB","['PATA, SATAII, USB, COM Ports, GPIO']",WiFi 802.11ac and BT 4.0,"['WinCE', 'Win XPE', 'QNX']",60°C,0°C,,"ETX CPU module with Intel Atom processor, supporting DDR3 memory and multiple I/O interfaces.","The SOM B is an ETX form factor CPU module featuring Intel Atom processors, supporting DDR3 memory up to 2 GB, and offering a range of I/O interfaces including PATA, SATAII, USB, and COM ports. It is suitable for embedded applications with a focus on flexibility and performance.","The SOM B module is designed for embedded applications, featuring Intel Atom N and D series processors with single and dual-core options. It supports DDR3 memory up to 2 GB and provides a variety of I/O interfaces such as PATA, SATAII, USB, and COM ports. The module operates within a temperature range of 0°C to 60°C and is compatible with operating systems like WinCE, Win XPE, and QNX.","['Embedded Systems', 'Industrial Automation', 'Digital Signage']","['SOM-4463D-S8B1E', 'SOM-4463DZ-S8B1E', 'SOM-4463DZ2-S8B1E', 'SOM-4463N-S6B1E', 'SOM-4463NZ-S6B1E', 'SOM-4463NZ2-S6B1E']"
LEC-BTS1-2G-ER,LECBTS SMARC SHORT SIZE MODULE,ADLINK TECHNOLOGY INC,SMARC,False,X86,"Single, Dual, Quad",INTEL,5W to 10W,Up to 8GB DDR3L 1333MHz non-ECC,32GB eMMC,5V DC,"['4x USB 2.0', '2x SATA 3Gb/s', '1x PCIe x1', '1x PCIe x4', '1x GbE LAN', '1x HDMI', '1x LVDS']",5G connectivity,"['Linux', 'VxWorks', 'Windows', 'Windows Embedded Compact', 'QNX', 'Android']",85°C,-40°C,,"LECBTS SMARC Short Size Module with Intel Atom E Series SoC, supports up to 8GB DDR3L memory, multiple I/O interfaces, and extreme rugged operating temperatures.","The LECBTS SMARC Short Size Module features Intel Atom E Series SoC with single, dual, and quad-core options, up to 8GB DDR3L memory, and a variety of I/O interfaces including USB, SATA, PCIe, and GbE LAN. It supports multiple operating systems and is designed for extreme rugged environments with operating temperatures ranging from -40°C to 85°C.","The LECBTS SMARC Short Size Module by ADLINK Technology Inc is equipped with Intel Atom E Series processors, offering single, dual, and quad-core configurations. It supports up to 8GB of DDR3L 1333MHz non-ECC memory. The module includes a range of I/O interfaces such as 4x USB 2.0, 2x SATA 3Gb/s, 1x PCIe x1, 1x PCIe x4, 1x GbE LAN, 1x HDMI, and 1x LVDS. It is compatible with various operating systems including Linux, VxWorks, Windows, Windows Embedded Compact, QNX, and Android. Designed for extreme conditions, it operates within a temperature range of -40°C to 85°C.","['Industrial automation', 'Embedded systems', 'Rugged computing environments']","['LEC-BTS1-2G-ER', 'LEC-BTS4-2G-ER']"
PCM-9366E-S7A2,PCM,ADVANTECH,SBC,False,x86,QuadCore,INTEL,6W/6W/12W/9W/6W up to 45W,"DDR3L SODIMM, Max 8GB",mSATA,12V DC,"['2x GbE', '4x USB', '2x RS-232/422/485', '1x HDMI', '1x VGA', '1x LVDS']",M.2 Key E for Wi-Fi,"Windows, Linux",60°C,-20°C,"CE, FCC","Embedded SBC with Intel Pentium/Celeron/Atom processors, rich I/O, and wide power input.","The PCM series offers a range of embedded single board computers featuring Intel Pentium, Celeron, and Atom processors. It supports DDR3L memory, multiple display outputs, and a variety of I/O interfaces including GbE, USB, and COM ports.","Advantech's PCM series SBCs are designed for embedded applications, offering flexibility with Intel processors, support for up to 8GB DDR3L memory, and comprehensive I/O options. The boards support multiple display interfaces, including HDMI and VGA, and provide expansion capabilities through mSATA and M.2 slots.","Industrial automation, digital signage, kiosks, and embedded systems.","['PCM-9366E-S7A2', 'PCM-9366N-S1A2', 'PCM-9366N-S2A2']"
AIMB-567G2-00A2E,AIMB,ADVANTECH,MICROATX,False,X86,4,INTEL,65W / 35W,8 GB DDR2 800 MHz SDRAM,3 x SATA III (Max. Data Transfer Rate 600 MB/s),12V,"['VGA', 'DVI', 'Ethernet', 'USB', 'Audio', 'Serial RS232', 'PS/2']",M.2 E key for wireless,"['Windows XP Embedded', 'Windows Embedded Standard']",60°C,0°C,"CE, FCC","Industrial motherboard with Intel Core Quad support, dual display, and extensive I/O options.","The AIMB motherboard supports Intel Core Quad processors, dual display outputs, and a variety of I/O interfaces including VGA, DVI, Ethernet, USB, and more. It is designed for industrial applications with robust performance and reliability.","The AIMB series industrial motherboard features Intel Core Quad, Duo, and Pentium processors, with support for dual-channel DDR2 800 MHz SDRAM up to 8 GB. It includes dual display capabilities via VGA and DVI, dual Gigabit Ethernet, and multiple expansion slots including PCIe and PCI. The board is equipped with comprehensive I/O options and is suitable for demanding industrial environments.","['Industrial automation', 'Embedded systems', 'Digital signage', 'Networking']","['AIMB-567G2-00A2E', 'AIMB-567VG-00A2E']"
SOM-5897C3-S9A1E,COM EXPRESS BASIC MODULE,ADVANTECH,COM EXPRESS BASIC,False,X86,"6/12, 4/8, 4/4, 2",INTEL,15W to 45W,"Dual DDR4, Max 32GB",Up to 64GB eMMC,12V,"['PCIe x16, PCIe x1, SATA III, USB 3.0, USB 2.0, GPIO, SMBus, I2C, Ethernet']",,"['Windows IoT', 'Linux']",85°C,-40°C,,"COM Express Basic Module with Intel Xeon/Core/Celeron processors, supporting dual DDR4 memory and various I/O interfaces.","The COM Express Basic Module features Intel Xeon/Core/Celeron processors, dual DDR4 memory support up to 32GB, and a range of I/O interfaces including PCIe, SATA, USB, and Ethernet. It is designed for industrial applications with extended temperature ranges.","This module is built on the COM Express Basic form factor, integrating Intel's latest Xeon/Core/Celeron processors. It supports dual-channel DDR4 memory up to 32GB, and offers extensive I/O options such as PCIe, SATA, USB, and Ethernet. The module is suitable for industrial environments, supporting a wide operating temperature range from -40°C to 85°C.","['Industrial Automation', 'Embedded Systems', 'Networking']","['SOM-5897C3-S9A1E', 'SOM-5897C3-U7A1E', 'SOM-5897C5-S9A1E', 'SOM-5897C5-U7A1E', 'SOM-5897C7-U0A1E', 'SOM-5897C7-U8A1E', 'SOM-5897C7Z2-U0A1E', 'SOM-5897CR-U4A1E', 'SOM-5897E4C-U0A1E', 'SOM-5897E4C-U7A1E', 'SOM-5897E4C-U8A1E', 'SOM-5897E4X-U0A1E']"
AIMB-231G2-U3A1E,AIMB-275,ADVANTECH,MINI-ITX,False,X86,2,INTEL,15W,16GB DDR3L 1600MHz,128 Mbit SPI Flash,12V DC,"['4 USB2.0, 6 USB3.0, 2 RS-232, 8 GPIO']",,"Windows 10 IoT Enterprise, WE8.1 Industry Pro",60°C,0°C,FCC Class B,"Industrial motherboard with Intel Core i7/i5/i3/Celeron processors, Mini-ITX form factor.","The AIMB-275 is an industrial motherboard featuring Intel Core i7/i5/i3/Celeron processors, supporting dual-channel DDR3L memory, multiple display outputs, and dual Intel Gigabit LAN.","The AIMB-275 motherboard is designed for industrial applications, equipped with Intel's 4th generation Core processors. It supports up to 16GB of DDR3L memory, offers versatile display options including HDMI, DP, and LVDS, and features dual Intel Gigabit Ethernet ports. The board is built in a Mini-ITX form factor, making it suitable for compact systems.","Industrial automation, digital signage, and embedded systems.","['AIMB-231G2-U3A1E', 'AIMB-231G2-U5A1E']"
MIO-2361EW-S1A1,MIO,ADVANTECH,PICO-ITX,False,X86,4,INTEL,6W,LPDDR3 8GB,eMMC 64GB,12V,"['USB 3.0 x4, HDMI x2, RS-232 x2']",,"['Windows 10', 'Ubuntu 20.04', 'Yocto']",60°C,-20°C,"['CE', 'FCC Class B']","Compact Pico-ITX SBC with Intel Atom E series processors, supporting dual displays and extensive I/O.","The MIO is a compact Pico-ITX single board computer featuring Intel Atom E series processors. It supports dual displays via HDMI and LVDS, and offers extensive I/O options including USB, RS-232, and Ethernet. It is suitable for industrial applications with a wide operating temperature range.","The MIO Pico-ITX SBC is designed for industrial applications, featuring Intel Atom E series processors with up to 8GB of LPDDR3 memory and 64GB of onboard eMMC storage. It supports dual display outputs via HDMI and LVDS, and offers a variety of I/O interfaces including USB 3.0, RS-232, and dual Gigabit Ethernet. The board is capable of operating in temperatures ranging from -20°C to 60°C and is compliant with CE and FCC Class B certifications.","['Industrial Automation', 'Digital Signage', 'Kiosk Systems']","['MIO-2361EW-S1A1', 'MIO-2361EW-S6A1', 'MIO-2361EW-S6A2N', 'MIO-2361EW-S7A1', 'MIO-2361EW-S7A2N']"
ASMB-815T2-00A2U,ASMB-781,ADVANTECH,ATX,False,x86,4,INTEL,95W,DDR4 2933 MHz RDIMM/LRDIMM,,"3.3V, 5V, 12V",['Not Available'],,,60°C,0°C,RoHS COMPLIANT 2002/95/EC,ATX server board supporting Intel Xeon Scalable processors and DDR4 memory.,"The ASMB-781 is an ATX server board designed for Intel Xeon Scalable processors, supporting DDR4 RDIMM and LRDIMM memory, with multiple PCIe slots and dual GbE ports.","The ASMB-781 ATX server board features support for Intel Xeon Scalable processors, DDR4 2933 MHz RDIMM/LRDIMM memory, and Intel Optane DC Persistent Memory. It includes five PCIe x16 slots, two PCIe x8 slots, and dual Intel X550-AT2 GbE ports. The board supports up to 1.5 TB of memory and offers extensive I/O options including SATA, USB, and VGA.","Data centers, enterprise servers, and high-performance computing.",['ASMB-815T2-00A2U']
ARK-3500F-00A1E,ARK,ADVANTECH,Fanless Embedded Box PC,False,x86,Quad Core,INTEL,10 watts,"DDR3L, 1600 MHz, Max Capacity 16 GB","Supports mSATA, CFast, SATA HDD/SSD",9-36 VDC,"['6 x USB ports', '6 x COM ports', '1 x DIO', '2 x LAN ports']",WiFi,"['Microsoft Windows 7', 'Windows 8', 'Windows XP Professional 32-bit', 'XP Embedded 32-bit', 'Linux Ubuntu']",60°C,-20°C,"['CE', 'FCC Class A', 'CCC', 'BSMI', 'UL']","Fanless Embedded Box PC with Intel Core processors, versatile IOs, and wide range power input.","The ARK series is a fanless embedded box PC featuring 3rd Gen Intel Core processors, multiple expansion slots, and a wide range of power input options. It supports triple independent displays and offers flexible storage solutions.","The ARK fanless embedded box PC is designed for industrial applications, offering robust performance with 3rd Gen Intel Core processors. It supports a variety of expansion slots including PCI, PCIe, and miniPCIe, and provides versatile IO options such as USB, COM ports, and LAN. The system is compliant with multiple certifications and supports various operating systems, making it suitable for diverse industrial environments.","['Industrial Automation', 'Digital Signage', 'Transportation', 'Surveillance']","['ARK-3500F-00A1E', 'ARK-3500P-00A1E']"
ASMB-813-00A1E,ASMB-AE,ADVANTECH,ATX,False,x86,Up to 4 cores,INTEL,95W,Maximum 512GB DDR4 ECC RDIMM,Eight SATA 3 and one M.2 connectors,12V,"['7 PCIe slots', '6 USB ports', '1 VGA port', '2 RJ45 LAN ports']",,Windows,60°C,0°C,CE/FCC,"ATX server board with Intel Xeon E v4 support, up to 512GB DDR4 ECC RDIMM, and multiple PCIe slots.","The ASMB-AE is an ATX server motherboard designed for Intel Xeon E v4 processors, supporting up to 512GB of DDR4 ECC RDIMM memory. It features seven PCIe expansion slots, dual GbE LAN, and comprehensive I/O options.","The ASMB-AE ATX server board is equipped with an Intel Xeon E v4 processor socket, supporting up to 512GB of DDR4 ECC RDIMM memory across eight slots. It includes seven PCIe slots for extensive expansion capabilities, dual Intel I210AT GbE LAN for networking, and a variety of I/O connectors including USB, VGA, and serial ports. The board is designed for high-performance server applications, with a robust power supply and cooling requirements.","['Data centers', 'Enterprise servers', 'High-performance computing']","['ASMB-813-00A1E', 'ASMB-813I-00A1E']"
34014-1600-12-3,COMEMRP E,KONTRON,COM EXPRESS MINI,True,X86,Up to 14 cores,INTEL,15W,Up to 32 GByte LPDDR5x,Optional NVMe SSD,12V,['Not Available'],,"['Windows', 'Linux', 'VxWorks']",85°C,-40°C,,"COM Express Mini Type 10 module with Intel 13th Gen Core/Pentium processors, up to 32GB LPDDR5x memory, and optional NVMe SSD.",The COMemRP E is a COM Express Mini Type 10 module featuring Intel's 13th Generation Core and Pentium processors. It supports up to 32GB of LPDDR5x memory and offers optional NVMe SSD storage. The module is designed for industrial applications with a wide operating temperature range.,"The COMemRP E by Kontron is a high-performance COM Express Mini Type 10 module equipped with Intel's latest 13th Generation Core and Pentium processors. It supports dual-channel LPDDR5x memory up to 32GB and offers optional NVMe SSD for onboard storage. The module includes Intel Iris Xe and UHD Graphics, making it suitable for graphics-intensive applications. It features a wide range of I/O interfaces, including PCIe, USB, and Ethernet with TSN support. Designed for industrial environments, it operates within a temperature range of -40°C to 85°C.","['Industrial automation', 'Embedded computing', 'IoT devices']","['34014-1600-12-3', '34014-1600-14-5', '34014-1600-17-7', '34014-3200-14-5', '34014-3200-17-7', '34014-8000-11-1', '34015-1600-12-3', '34015-1600-14-5', '34015-1600-17-7', '34015-3200-14-5', '34015-3200-17-7', '34015-8000-12-3']"
cExpress-SL-3955U,CEXPRESSSL,ADLINK TECHNOLOGY INC,COM EXPRESS,False,X86,2 cores,INTEL,15W,Up to 32GB Dual Channel DDR4 2133MHz non-ECC,,ATX 12V,"['4x USB 3.0, 4x USB 2.0, 3x SATA 6Gb/s, 1x GbE']",,"['Windows 10', 'Linux']",85°C,-40°C,"['IEC 60068-2-27', 'IEC 60068-2-64', 'MIL-STD-810F']","Compact COM Express Type 6 module with Intel Core and Celeron processors, supporting up to 32GB DDR4 memory and multiple I/O interfaces.","The cExpress-SL is a Compact COM Express Type 6 module featuring Intel's 6th Generation Core and Celeron processors. It supports up to 32GB of dual-channel DDR4 memory, multiple display outputs, and a variety of I/O interfaces including USB, SATA, and GbE. It is designed for rugged environments with an extended operating temperature range.","The cExpress-SL module from ADLINK Technology is built on Intel's 6th Generation Core and Celeron processors, offering high performance and low power consumption. It features dual-channel DDR4 memory support, multiple PCIe lanes, and a wide range of I/O options including USB 3.0, SATA 6Gb/s, and Gigabit Ethernet. The module is suitable for a variety of applications, including industrial automation and embedded computing, with support for Windows and Linux operating systems.","['Industrial Automation', 'Embedded Computing']","['cExpress-SL-3955U', 'cExpress-SL-i3-6100U', 'cExpress-SL-i5-6300U', 'cExpress-SL-i7-6600U']"
AIMB-281G2-00A1E,AIMB-580,ADVANTECH,MINI-ITX,False,x86,4,INTEL,,8 GB DDR3 1333 MHz SDRAM,,12V,"['VGA', 'DVI', 'Ethernet', 'USB', 'Audio', 'Serial RS-232', 'PS/2']",,"['Windows XP Embedded', 'Windows Embedded Standard 7', 'Windows Embedded Standard 8']",60°C,0°C,,"Industrial motherboard supporting Intel Core i3/i5/i7, Pentium, and Celeron processors with dual display and extensive I/O options.","The AIMB-580 is an industrial-grade motherboard designed for high-performance applications, supporting Intel Core i3/i5/i7, Pentium, and Celeron processors. It features dual display support, multiple I/O interfaces, and is suitable for embedded applications.","The AIMB-580 motherboard by Advantech is built for industrial applications, offering support for Intel Core i3/i5/i7, Pentium, and Celeron processors. It includes dual display capabilities with VGA, DVI, and LVDS outputs, and a variety of I/O options such as USB, COM ports, and Ethernet. The board supports DDR3 memory up to 8GB and features expansion slots for PCIe and mSATA. It is designed to operate in temperatures ranging from 0°C to 60°C, making it suitable for various industrial environments.","['Industrial automation', 'Embedded systems', 'Digital signage', 'Kiosks']",['AIMB-281G2-00A1E']
