name,manufacturer,form_factor,evaluation_or_commercialization,processor_architecture,processor_core_count,processor_manufacturer,processor_tdp,memory,onboard_storage,input_voltage,io_count,wireless,operating_system_bsp,operating_temperature_max,operating_temperature_min,certifications,short_summary,full_summary,full_product_description,target_applications
RCB,NEXCOBOT,MINI-ITX,False,x86-64,4C/8T,INTEL,15W,"DDR4 SODIMM, 3200MHz, 64GB",M.2 2242/2280 Key B (support SATA/PCIe),12V,"['4x USB 3.2 Gen 1', '4x USB 2.0', '2x RS-232', '2x RS-485', '2x GbE LAN', '1x VGA', '1x HDMI', '1x Audio Line-out', '1x Mic-in']","LTE, 4G support","['Windows 10 64-bit', 'Ubuntu 20.04']",60°C,-20°C,"['CE', 'FCC Class A']","RCB is a high-performance Mini-ITX board with Intel's 11th Gen Core processors, suitable for industrial applications.","The RCB board features Intel's 11th Gen Core processors, offering high-performance AI computing capabilities. It supports multiple display outputs, extensive I/O interfaces, and is designed for industrial applications such as robotics and IoT.","RCB is equipped with Intel's Tiger Lake-UP 11th Gen Core i processors, providing high-performance computing for AI and visual recognition applications. It includes dual-channel DDR4 SODIMM memory support, multiple USB and COM ports, and is suitable for various industrial applications including robotics, AMR, and IoT.","['Robotics', 'Industrial Automation', 'IoT', 'Medical Institutions', 'E-commerce Logistics']"
GEODE NX SBC,LOGIC,MINI-ITX,True,Mobile Athlon architecture,Dual-core,AMD,6W,1 GB PC3200 DDR DRAM,32GB eMMC ROM,Standard 20-pin ATX power supply,"['USB, PCI, Serial, Parallel, VGA, Audio']",,"['Windows CE', 'Windows XP/XPe', 'Linux']",+85°C,-40°C,AC97 v2.3 Compliance,The AMD Geode NX SBC is a Mini-ITX platform for developing embedded products with low power and high performance.,"The AMD Geode NX SBC is a complete Mini-ITX computing platform designed for building small form factor PC systems, ideal for OEMs developing low power, low noise, compact systems for commercial, industrial, and medical settings.","The AMD Geode NX SBC features a Mini-ITX form factor, AMD Geode NX 1500@6W processor, 1 GB PC3200 DDR DRAM, and supports various interfaces including USB, PCI, Serial, Parallel, VGA, and Audio. It is suitable for thin clients, medical devices, industrial devices, and wireless network devices.","['Thin clients', 'Medical devices', 'Industrial devices', 'Wireless network devices', 'Set-top boxes']"
ARMADA SOM A,SOLIDRUN LTD,SYSTEM ON MODULE,False,ARM,2,MARVELL,,Up to 4GB DDR3L,Optional eMMC up to 8GB,5V,"['Multiple interfaces including USB, GPIO, SATA, PCIe']","WiFi and Bluetooth 2.0 (2.4 GHz), BLE 4.2/5.0","['U-Boot', 'Linux Kernel 4.x', 'OpenWrt', 'Yocto']",85°C,-40°C,"CE, FCC/CSA",A dual-core ARM Cortex-A9 System on Module optimized for IoT systems.,"The ARMADA SOM A is a dual-core ARM Cortex-A9 System on Module, ideal for fast and efficient IoT systems, offering broad software support and various temperature grades.","The ARMADA SOM A by SolidRun is a robust System on Module featuring Marvell's ARMADA 38x SoC. It supports up to 4GB DDR3L memory, optional eMMC storage, and a variety of I/O interfaces. It is suitable for both commercial and industrial applications with a wide operating temperature range.","['Networking', 'Storage', 'IoT Systems']"
ESRPCMSUNO,ADVANTECH,REGULAR SIZE ENCLOSURE,False,X86,4,INTEL,6W,8 GB DDR4,1GB,12 VDC,"['4 x USB', '2 x HDMI', '2 x DP', '2 x LAN', '2 x RS232']","Wi-Fi/Bluetooth, 3g and GPS",THINMANAGER,60 C,0 C,"['CE', 'FCC', 'UL', 'CB', 'CCC', 'ROHS']",Industrial thin client with multi-monitor support and Intel Core processor.,"The ESRPCMSUNO is an industrial thin client designed for centralized management with support for multiple monitors and ultraHD video outputs, powered by an Intel Core processor.","The ESRPCMSUNO is a robust industrial thin client compatible with ThinManager, featuring Intel Core i5 processor, 8 GB DDR4 memory, and support for up to 4 independent displays with HDMI and DP ports. It is designed for factory floor applications with certifications including CE, FCC, UL, and RoHS compliance.","['Factory floor applications', 'Centralized management', 'Industrial monitoring']"
ASMB-IA,ADVANTECH,MINI-ITX,False,x86,4,INTEL,65W,Supports up to 128GB DDR4 ECC/Non-ECC UDIMM/RDIMM,Supports SATA III and M.2,12V DC,"['4 USB, 2 GbE LAN, 1 PCIe x16, 6 SATA III']",Wi-Fi and Bluetooth module support,"WES7, WES8",60°C,0°C,"IEC-60068-2, IPC-A-610","Mini-ITX server board with Intel Atom C processor, supporting up to 128GB DDR4 memory.","The ASMB-IA is a Mini-ITX server board featuring an Intel Atom C processor, supporting dual-channel DDR4 ECC/Non-ECC UDIMM/RDIMM memory up to 128GB, with multiple I/O options including PCIe, SATA III, and dual GbE LAN.","The Advantech ASMB-IA Mini-ITX server board is designed for high-performance applications, equipped with an Intel Atom C processor. It supports up to 128GB of DDR4 ECC/Non-ECC UDIMM/RDIMM memory, providing robust data handling capabilities. The board includes a variety of I/O interfaces such as PCIe x16, SATA III, and dual GbE LAN ports, making it suitable for diverse industrial applications. The board operates within a temperature range of 0°C to 60°C, ensuring reliability in various environments.","Industrial applications, server solutions, data handling"
AIIS POE COMPACT SYSTEM,ADVANTECH,Compact,False,x86,Quad-core,INTEL,77 watts,"Dual Channel DDR3, Max Capacity 16GB","Internal HDD Bay, max 9.5mm height",24 VDC,"['VGA, DVI-D, USB, RS-232/422/485, Isolated DIO']",,WES7,60 C,0 C,UL,AIIS PoE Compact System with Intel Core i3 CPU and GbE PoE support.,"The AIIS PoE Compact System supports Intel Core i3 CPUs and features GbE PoE, making it suitable for industrial applications requiring compact design and robust connectivity.","The AIIS PoE Compact System is designed for industrial use, supporting Intel Core i3 processors and featuring GbE PoE. It includes dual-channel DDR3 memory support, internal HDD bay, and a variety of I/O interfaces including VGA, DVI-D, USB, and isolated DIO. The system is compliant with IEEE 802.3af for PoE and offers a compact design with a volume of less than 3 liters.","Industrial automation, machine vision, and intelligent inspection systems."
PCA,ADVANTECH,SBC,False,x86,Dual core,INTEL,Ultra low power,"DDR3 800 MHz, up to 4 GB",One SATA HDD,"5V, 12V, 3.3V, 5VSB","['USB ports, Serial RS-232, Parallel, GPIO, FDD, PS/2']","Wi-Fi, Bluetooth, GSM",Embedded software APIs utilities,60°C,0°C,"CE, FCC",Ultra low power fanless Intel Atom SBC with dual GbE LAN and DDR3 memory support.,"The PCA is an ultra low power fanless SBC featuring Intel Atom processors, dual GbE LAN, and support for DDR3 memory. It is designed for embedded applications with a variety of I/O interfaces.","The PCA SBC is equipped with Intel Atom N and D processors, offering dual core performance with ultra low power consumption. It supports dual channel DDR3 memory up to 4 GB, and features dual GbE LAN, VGA, LVDS, and a range of I/O interfaces including USB, serial, and parallel ports. The board is suitable for embedded applications requiring reliable performance in a compact form factor.","Embedded systems, industrial automation, digital signage, and other applications requiring low power and high reliability."
PCM,ADVANTECH,PCPlus SBC,False,x86,Quad Core,INTEL,,Up to 8GB DDR3L,mSATA,12V,"['Multiple I/O including VGA, HDMI, LVDS, USB, Ethernet']",,,60°C,0°C,"CE, FCC","The PCM is a compact SBC featuring Intel Celeron and Atom processors, supporting multiple display outputs and expansion interfaces.","The PCM series offers a versatile SBC solution with Intel Celeron N and Atom E processors, supporting up to 8GB DDR3L memory, multiple display interfaces including VGA, HDMI, and LVDS, and expansion options via Mini PCIe and PCI slots.","The PCM series is designed for industrial applications, featuring Intel Celeron N and Atom E processors with quad-core and dual-core options. It supports up to 8GB of DDR3L memory and offers a variety of display outputs including VGA, HDMI, and LVDS. The board includes multiple I/O interfaces and expansion slots, making it suitable for a wide range of applications.","Industrial automation, digital signage, and embedded systems."
SIMBA ATX MOTHERBOARD,ADVANTECH,ATX,False,x86,6 to 10 cores,INTEL,65 W,Supports up to 32GB Dual Channel DDR3 SDRAM,,12~24V DC,"['2 x PCI Express x16', '2 x PCI Express x1', '2 x PCI', 'DIO 8-bit', '2 x Gigabit LAN']",Industrial Flash/Memory/Wireless Modules,"Windows 11 IoT Enterprise LTSC, Ubuntu",60°C,0°C,FCC Part 15,"SIMBA ATX Motherboard with Intel H chipset, supports Intel Core processors.","The SIMBA ATX Motherboard is designed for Intel's second-generation Core processors, featuring an Intel H chipset, dual-channel DDR3 memory support, and integrated HD graphics.","The SIMBA ATX Motherboard supports Intel's Sandy Bridge processors with LGA 1155 socket, offering a range of expansion slots including PCI Express and PCI. It includes integrated HD graphics, Realtek ALC892 audio codec, and dual Gigabit LAN ports. The board is equipped with various headers and connectors for comprehensive I/O options.","Factory automation, in-vitro diagnostics, self-service kiosks, AI vision, motion, data acquisition"
KINODQM,IEI,Mini-ITX,False,x86,Quad-core,Intel,15W,Up to 32GB DDR4,Supports mSATA,12V DC,"['Multiple USB, HDMI, SATA, PCIe, RS-232/422/485']",Bluetooth and Wi-Fi support via mini PCIe module,,60°C,0°C,"CE, FCC","Mini-ITX SBC with Intel Core Mobile CPU, dual Intel GbE, and rich I/O interfaces.","The KINODQM is a Mini-ITX single board computer featuring Intel Core mobile processors, dual-channel DDR4 memory support, and a variety of I/O interfaces including HDMI, SATA, and PCIe. It is designed for industrial applications with a robust set of features including triple independent displays and multiple expansion options.","The KINODQM Mini-ITX SBC supports 8th generation Intel Core mobile processors, offering quad-core performance with a TDP of 15W. It includes dual-channel DDR4 memory slots supporting up to 32GB, and features a rich array of I/O options such as USB 3.1 Gen 2, HDMI, SATA 6Gb/s, and dual Intel GbE LAN. The board supports triple independent displays and offers expansion capabilities through PCIe and mSATA slots, making it suitable for a wide range of industrial applications.","Industrial automation, digital signage, embedded systems"
NITROGENLITE,FREESCALE,SINGLE BOARD COMPUTER,False,ARM,1,FREESCALE,35W or 65W,512 MB DDR3,microSD slot,12~24V DC Input,"['USB Host', 'USB OTG', 'Ethernet', 'PCIe', 'JTAG', 'UART', 'GPIO']","Wi-Fi, Bluetooth via Optional Daughter Card","Wind River VxWorks, Linux, Green Hills INTEGRITY, DDC-I’s Deos ARINC-653, FACE compliant multicore RTOS, Deos DO-178 Certifiable BSPs",45°C,5°C,"ASHRAE Class A2, A3, A4",The NitrogenLite is a multipurpose single board computer based on the iMX SOLO processor.,"The NitrogenLite board features a single-core ARM Cortex A processor, multiple display ports, and various I/O interfaces including Ethernet and PCIe.","The NitrogenLite is designed for versatile applications with its ARM Cortex A processor, expandable memory, and support for multiple display outputs. It includes a range of I/O options such as USB, Ethernet, and PCIe, and offers optional wireless connectivity through a daughter card.","Factory automation & control, Industrial applications"
ICEQM,IEI,COM Express Basic,False,x86,Quad-core and Dual-core options,Intel,15W,"Dual-channel DDR3L, up to 16GB",Optional on-board 4 GB SSD,12V,"['4x USB 3.0, 4x USB 2.0, 4x PCIe x1, 1x PCIe x16, 2x SATA 6Gb/s, 1x GbE']",SMARC 2.0 modules support wireless technologies including WLAN and Bluetooth,,60°C,0°C,RoHS,"COM Express Basic module with Intel 7th Gen Mobile Core and Celeron processors, supporting DDR3L memory and various I/O interfaces.","The ICEQM is a COM Express Basic Type module supporting Intel 7th Generation Mobile Core and Celeron processors. It features dual-channel DDR3L memory support up to 16GB, multiple display outputs including VGA, LVDS, and DDI, and a variety of I/O interfaces such as USB, PCIe, and SATA.","The ICEQM module is designed for high-performance embedded applications, featuring Intel's 7th Generation Mobile Core and Celeron processors. It supports dual-channel DDR3L memory up to 16GB, and offers a range of I/O options including USB 3.0, USB 2.0, PCIe, and SATA interfaces. The module also includes Intel HD Graphics for enhanced media processing capabilities and supports multiple display outputs. It is compliant with RoHS standards and is suitable for various industrial applications.","Industrial automation, digital signage, medical equipment, and embedded computing."
SOM INTEL ATOMCELERON PROCESSOR COM EXPRESS MINI MODULE,ADVANTECH,COM EXPRESS MINI MODULE,False,SILVERMONT,Dual-core,INTEL,6W,4GB DDR3L,64GB TLC SSD,12V,"['PCIe x1', 'USB 2.0', 'USB 3.0', 'SATA II', 'Ethernet', 'GPIO', 'SPI', 'I2C', 'SMBus', 'RS232', 'RS485']",,"['Windows Embedded Standard', 'Linux']",85°C,-40°C,,"Compact COM Express Mini Module with Intel Atom/Celeron processors, suitable for embedded applications.","The SOM Intel AtomCeleron Processor COM Express Mini Module is designed for embedded applications, featuring Intel Atom and Celeron processors based on the Silvermont microarchitecture. It supports onboard DDR3L memory and SSD storage, with a wide range of I/O interfaces.","This COM Express Mini Module integrates Intel Atom and Celeron processors, offering a balance of performance and power efficiency. It includes onboard DDR3L memory and SSD storage, with support for various I/O interfaces such as PCIe, USB, SATA, Ethernet, and more. The module is suitable for harsh environments with an extended operating temperature range.","['Industrial automation', 'Embedded systems', 'IoT devices', 'Medical equipment']"
MICROSOM IPRO,SOLIDRUN LTD,MICROSOM,False,ARM,4,NXP,,1 GB DDR3,"eMMC, SD/microSD",5V,"['Multiple interfaces including HDMI, USB, CAN bus, SATA, PCIe']","Optional Wi-Fi, Bluetooth",Linux,105C,-40C,Common Criteria Certification,Quad-core ARM-based MicroSoM with optional wireless capabilities.,"The MicroSoM iPro is a compact system-on-module featuring a quad-core ARM processor, optional Wi-Fi and Bluetooth, and a variety of I/O interfaces including HDMI, USB, and PCIe.","The MicroSoM iPro by SolidRun Ltd is based on NXP's iMX Quad Core SoC, offering robust computing solutions with a small form factor. It supports multiple temperature grades and provides a range of interfaces such as HDMI, USB, and PCIe for versatile applications.","Industrial, automotive, and commercial applications requiring compact and robust computing solutions."
IBFI,IBASE,SBC,False,x86,Quad-core,Intel,6W,Up to 8GB DDR3L SODIMM,mSATA,12V,"['2x USB 3.0', '2x USB 2.0', '2x COM', '2x SATA III', '2x GbE LAN']",5G communications,Windows 10 and Linux Ubuntu,60°C,-20°C,"ISO 9001, ISO 13485, ISO 14001, ISO 27001, EN50155, EN45545, E-mark","IBFI SBC with Intel Atom, dual GbE LAN, HDMI, DisplayPort, and wide temperature support.","The IBFI is a single board computer featuring an Intel Atom processor, dual Gigabit Ethernet LAN, HDMI, DisplayPort, and support for wide temperature ranges, making it suitable for industrial applications.","The IBFI SBC is equipped with an Intel Atom x5-E3940 processor, offering quad-core performance with a base frequency of 1.6 GHz and a turbo boost up to 1.8 GHz. It supports up to 8GB of DDR3L SODIMM memory and includes mSATA for onboard storage. The board provides extensive I/O options including dual GbE LAN, HDMI, DisplayPort, and multiple USB and COM ports. Designed for industrial environments, it operates within a temperature range of -20°C to 60°C.","['Industrial automation', 'Embedded systems', 'Digital signage']"
AIMB,ADVANTECH,MINI-ITX,False,X86,Up to 24,INTEL,35W / 46W / 60W / 65W,"Dual Channel DDR4 2933 MHz SDRAM, Max Capacity 64GB","M.2 M key SSD, NVMe supported",12V DC,"['HDMI', 'eDP', 'Dual LAN', 'USB 3.2 Gen 1', 'SATA III']",M.2 E key wireless,"['Windows 10', 'Windows 7']",60°C,0°C,RoHS COMPLIANT,Industrial motherboard supporting Intel 10th Gen Core processors with dual display and extensive I/O options.,"The AIMB is an industrial motherboard designed for robust applications, featuring Intel 10th Gen Core processors, dual display support via HDMI and eDP, and a variety of I/O interfaces including dual LAN and USB 3.2 Gen 1.","The AIMB motherboard by Advantech is built for industrial applications, supporting Intel 10th Gen Core processors with LGA1200 socket and Intel H420E chipset. It offers dual-channel DDR4 memory up to 64GB, dual display outputs via HDMI and eDP, and extensive connectivity options including dual LAN, USB 3.2 Gen 1, and SATA III. The board is RoHS compliant and supports embedded software APIs for enhanced functionality.","['Industrial Automation', 'Embedded Systems', 'Digital Signage']"
AIMB,ADVANTECH,MINI-ITX,False,X86,Up to 16,INTEL,45W,32GB DDR4 2133MHz SDRAM,M.2 NVMe SSD,ATX 20-pin+8-pin ATX12V,"['2 HDMI', '2 Display Port', '2 Ethernet', '6 USB', 'Audio', 'Serial RS-232']",M.2 E key for wireless,"['WISE-PaaS/RMM', 'Embedded Software APIs']",60°C,0°C,"['RoHS COMPLIANT', 'EC Standard']",Industrial motherboard supporting Intel Xeon and Core processors with Mini-ITX form factor.,"The AIMB series is an industrial motherboard featuring support for Intel Xeon and Core processors, Mini-ITX form factor, dual-channel DDR4 memory, and multiple I/O interfaces including HDMI, Display Port, and Ethernet.","The AIMB series motherboards are designed for industrial applications, supporting Intel Xeon and Core processors with a Mini-ITX form factor. They offer dual-channel DDR4 2133MHz SDRAM, multiple display outputs including HDMI and Display Port, and extensive I/O options such as Ethernet, USB, and serial ports. The boards are RoHS compliant and meet EC standards, making them suitable for a wide range of industrial environments.","['Industrial Automation', 'Embedded Systems', 'IoT Applications']"
